Milliseconds,X,Y,Z,cos,headingAccuracy
7081,0.06024658,-0.9057657,0.29657185,0.29665467,0.17453292
7101,0.05886781,-0.90613467,0.296059,0.2963168,0.17453292
7122,0.057013597,-0.9055109,0.29765365,0.2969879,0.17453292
7141,0.056338858,-0.904296,0.3002754,0.2981768,0.17453292
7161,0.05611079,-0.9025222,0.3043305,0.29947996,0.17453292
7181,0.055623963,-0.9012618,0.3077254,0.299897,0.17453292
7202,0.05454133,-0.90082264,0.30792862,0.30120385,0.17453292
7221,0.053641245,-0.90194315,0.30623135,0.29973915,0.17453292
7241,0.054025315,-0.90231293,0.3092057,0.29547328,0.17453292
7262,0.054303214,-0.9003323,0.3185263,0.29153723,0.17453292
7281,0.051573902,-0.89896053,0.32773134,0.28601095,0.17453292
7301,0.04453427,-0.902349,0.3180308,0.28747076,0.17453292
7322,0.04060127,-0.903123,0.320075,0.2833237,0.17453292
7341,0.03262655,-0.9020194,0.31549913,0.29284263,0.17453292
7362,0.028951976,-0.9021795,0.3117358,0.2967403,0.17453292
7381,0.019722944,-0.90211225,0.30937213,0.30015564,0.17453292
7401,0.00859825,-0.90253466,0.30590504,0.30295104,0.17453292
7421,0.0034187082,-0.9029742,0.3061223,0.30152133,0.17453292
7442,0.0032329832,-0.9064151,0.31141132,0.2853492,0.17453292
7461,0.0067150677,-0.90770483,0.3202107,0.27109402,0.17453292
7481,0.014287048,-0.90968287,0.3283516,0.25388622,0.17453292
7501,0.019470187,-0.9094438,0.33482426,0.24581626,0.17453292
7521,0.023758583,-0.9086882,0.34108523,0.23954585,0.17453292
7541,0.029716399,-0.9083807,0.3502132,0.22652185,0.17453292
7562,0.035915013,-0.9079018,0.35852104,0.2142126,0.17453292
7581,0.041132275,-0.90808696,0.3628625,0.2049805,0.17453292
7601,0.04571809,-0.9079729,0.367336,0.19636554,0.17453292
7621,0.05156489,-0.9068587,0.37221104,0.19080701,0.17453292
7641,0.050193503,-0.9063833,0.37233564,0.19317375,0.17453292
7662,0.043652784,-0.9063993,0.37062764,0.19791372,0.17453292
7681,0.034537487,-0.90668947,0.3673716,0.2043514,0.17453292
7701,0.03090279,-0.90702593,0.36329198,0.21063681,0.17453292
7721,0.02934041,-0.9076026,0.36096138,0.21237583,0.17453292
7742,0.029152527,-0.9078644,0.3602138,0.21255206,0.17453292
7761,0.028591588,-0.90867174,0.3594914,0.21039045,0.17453292
7781,0.027600205,-0.9093927,0.35899368,0.20824653,0.17453292
7802,0.026653422,-0.9096248,0.35875744,0.20776294,0.17453292
7821,0.024315918,-0.9096336,0.3574294,0.21028484,0.17453292
7841,0.021447422,-0.90884143,0.35630897,0.21584995,0.17453292
7861,0.017414812,-0.9080654,0.35227677,0.22586514,0.17453292
7881,0.013145184,-0.9076637,0.34930328,0.23229516,0.17453292
7901,0.011477133,-0.90728194,0.35099638,0.23132089,0.17453292
7921,0.010603366,-0.9065851,0.35611132,0.2262205,0.17453292
7942,0.0068370877,-0.90590805,0.36149278,0.2204695,0.17453292
7961,2.1478036E-4,-0.9045659,0.36964524,0.21242152,0.17453292
7981,-0.0071168295,-0.9022831,0.38098285,0.20170939,0.17453292
8002,-0.014968933,-0.9013347,0.39262316,0.18226007,0.17453292
8021,-0.018966913,-0.90029055,0.4036483,0.16181864,0.17453292
8041,-0.022938244,-0.8991485,0.41052923,0.14990497,0.17453292
8062,-0.026478918,-0.8993344,0.41218776,0.14351937,0.17453292
