Milliseconds,X,Y,Z,cos,headingAccuracy
6000,-0.6215133,-0.64813066,0.08413243,0.43193704,0.17453292
6020,-0.6240366,-0.64625925,0.08391074,0.43114534,0.17453292
6041,-0.6265544,-0.6449142,0.08341573,0.42960095,0.17453292
6060,-0.62874496,-0.64390033,0.08326497,0.4279475,0.17453292
6080,-0.62944466,-0.6434838,0.084447086,0.4273134,0.17453292
6100,-0.62933004,-0.6430373,0.087374344,0.4275657,0.17453292
6121,-0.6290464,-0.64279586,0.09169569,0.42744127,0.17453292
6140,-0.62969166,-0.6421518,0.093097016,0.4271562,0.17453292
6160,-0.6303848,-0.64142907,0.0938097,0.4270638,0.17453292
6180,-0.63007647,-0.6412962,0.09449642,0.4275666,0.17453292
6201,-0.6291529,-0.64163506,0.09541663,0.42821345,0.17453292
6220,-0.6281357,-0.6418846,0.095538795,0.42930412,0.17453292
6240,-0.627572,-0.64166665,0.095486,0.43046454,0.17453292
6261,-0.6278458,-0.6408997,0.09541728,0.43122232,0.17453292
6280,-0.6279292,-0.6401968,0.09663849,0.4318726,0.17453292
6300,-0.627904,-0.6397022,0.09768907,0.4324055,0.17453292
6320,-0.6274586,-0.6400738,0.098949865,0.43221545,0.17453292
6341,-0.6274451,-0.64063066,0.09836412,0.4315432,0.17453292
6360,-0.6276096,-0.6414546,0.09715459,0.43035245,0.17453292
6380,-0.6266535,-0.6431139,0.097526975,0.42918333,0.17453292
6401,-0.62416786,-0.6457675,0.099861346,0.42828324,0.17453292
6420,-0.6207136,-0.6487345,0.1032476,0.42801648,0.17453292
6440,-0.61754644,-0.65099794,0.104972385,0.428741,0.17453292
6460,-0.6146884,-0.65291506,0.10472411,0.42999187,0.17453292
6480,-0.61123633,-0.6560187,0.101012215,0.43107563,0.17453292
6501,-0.608465,-0.65904146,0.09883331,0.43089053,0.17453292
6520,-0.60746807,-0.6599445,0.098665945,0.43095347,0.17453292
6541,-0.607559,-0.66017413,0.09874066,0.430456,0.17453292
6560,-0.607543,-0.6605918,0.09865375,0.42985752,0.17453292
6580,-0.60749525,-0.66105765,0.098162405,0.4293209,0.17453292
6601,-0.60744756,-0.6613774,0.09717845,0.42911974,0.17453292
6620,-0.6073347,-0.66148764,0.09592808,0.4293908,0.17453292
6640,-0.6071871,-0.6613217,0.09480365,0.4301043,0.17453292
6660,-0.607019,-0.661176,0.09434639,0.43066576,0.17453292
6680,-0.60689276,-0.661211,0.09450424,0.4307553,0.17453292
6701,-0.6067944,-0.6612644,0.09500771,0.4307011,0.17453292
6720,-0.60673034,-0.6611833,0.09559587,0.43078578,0.17453292
6740,-0.60676616,-0.66092294,0.096058376,0.4310319,0.17453292
6760,-0.60659623,-0.660873,0.0965245,0.43124342,0.17453292
6781,-0.60657674,-0.6608361,0.096695855,0.43128902,0.17453292
6800,-0.6097672,-0.65816367,0.08981123,0.43236387,0.17453292
6820,-0.61049277,-0.65796256,0.0889785,0.43181786,0.17453292
6840,-0.6099781,-0.65795577,0.0892968,0.4324894,0.17453292
6861,-0.6086741,-0.65940654,0.08993612,0.43198425,0.17453292
6880,-0.6073507,-0.6612005,0.090327464,0.4310219,0.17453292
6900,-0.60589266,-0.6630121,0.091072425,0.43013358,0.17453292
6920,-0.6055498,-0.6637747,0.09146207,0.42935672,0.17453292
6940,-0.60551953,-0.66437197,0.091294974,0.4285105,0.17453292
6961,-0.60532176,-0.6646951,0.09120747,0.4283073,0.17453292
6980,-0.6051963,-0.66486096,0.091217935,0.428225,0.17453292
7000,-0.60505605,-0.6650977,0.09142804,0.4280106,0.17453292
7020,-0.60497785,-0.66524523,0.09165492,0.42784336,0.17453292
7041,-0.60489124,-0.6653424,0.09179786,0.42778417,0.17453292
7060,-0.60477424,-0.6654316,0.091836765,0.42780238,0.17453292
7080,-0.6044274,-0.6656501,0.09185456,0.42794877,0.17453292
7101,-0.6042279,-0.6657921,0.09159667,0.4280649,0.17453292
7120,-0.6040387,-0.6660405,0.09103116,0.42806613,0.17453292
7140,-0.6039682,-0.6661638,0.0901725,0.42815542,0.17453292
7160,-0.6038964,-0.66629964,0.08943236,0.4282007,0.17453292
7180,-0.6037528,-0.6664772,0.08906336,0.42820373,0.17453292
7201,-0.603659,-0.66681415,0.0887677,0.4278726,0.17453292
7220,-0.6035608,-0.6671703,0.088538684,0.42750323,0.17453292
7240,-0.60344225,-0.66764975,0.08809481,0.4270135,0.17453292
7260,-0.6033607,-0.66791004,0.08753912,0.42683598,0.17453292
7280,-0.60334414,-0.66798455,0.087286204,0.42679453,0.17453292
7301,-0.60336167,-0.66820234,0.0868475,0.42651823,0.17453292
7320,-0.60321754,-0.66844684,0.086806625,0.42634735,0.17453292
7340,-0.6030867,-0.66880053,0.08672805,0.4259935,0.17453292
7361,-0.60291624,-0.6692392,0.08668293,0.42555478,0.17453292
7380,-0.6028037,-0.66950583,0.08672602,0.425286,0.17453292
7400,-0.6027684,-0.6696318,0.08666185,0.42515084,0.17453292
7421,-0.6026532,-0.6697737,0.086645745,0.42509386,0.17453292
7440,-0.6026086,-0.66992825,0.08663034,0.42491668,0.17453292
7460,-0.60251904,-0.67021585,0.0867267,0.42457038,0.17453292
7481,-0.6024967,-0.6704854,0.08682405,0.4241565,0.17453292
7500,-0.6022317,-0.67095786,0.08701713,0.4237459,0.17453292
7520,-0.6024113,-0.6709167,0.08736408,0.4234842,0.17453292
7540,-0.60224944,-0.6711421,0.0874114,0.4233475,0.17453292
7561,-0.6021904,-0.6716362,0.087434575,0.4226426,0.17453292
7580,-0.60212225,-0.67186916,0.0875292,0.42234966,0.17453292
7600,-0.60204244,-0.6719953,0.08764305,0.42223918,0.17453292
7621,-0.6020442,-0.6721733,0.08785586,0.42190894,0.17453292
7640,-0.60193914,-0.67224514,0.087930724,0.4219288,0.17453292
7660,-0.6015838,-0.672712,0.08795099,0.42168725,0.17453292
7680,-0.6015213,-0.67278653,0.08768943,0.42171192,0.17453292
7701,-0.6015485,-0.6727282,0.08758819,0.42178723,0.17453292
7720,-0.60131174,-0.6732147,0.087891005,0.42128533,0.17453292
7740,-0.6011363,-0.67330664,0.08812768,0.4213393,0.17453292
7760,-0.6009732,-0.67346567,0.08833753,0.42127392,0.17453292
7781,-0.60086554,-0.6737941,0.0882018,0.42093065,0.17453292
7800,-0.60087645,-0.6738641,0.08809058,0.42082617,0.17453292
7820,-0.60070074,-0.674203,0.08798521,0.4205563,0.17453292
7841,-0.6001757,-0.67482376,0.0880989,0.42028642,0.17453292
7860,-0.5999451,-0.67508405,0.08826503,0.42016268,0.17453292
7880,-0.5996667,-0.6754383,0.088574596,0.4199256,0.17453292
7900,-0.59952766,-0.67578685,0.08876453,0.41952303,0.17453292
